"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"单拖渔船","2187-09-12 00:00:00.0","荣成市华海渔业有限公司","西南大西洋公海","2350.00","荣成市华海渔业有限公司","819.00",,"中国","鲁荣远渔828"
"金枪鱼延绳钓","2192-09-09 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔688"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔619"
"鱿鱼钓","2179-09-09 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2100.00","荣成市连海渔业有限公司","1593.00",,"中国","鲁荣远渔998"
"鱿鱼钓","2182-09-09 00:00:00.0","威海荣玛渔业有限公司","西南大西洋、东南太平洋公海","1103","威海荣玛渔业有限公司","917",,"中国","鲁威远渔858"
"拖网船","2180-09-03 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔906"
"延绳钓","2193-04-05 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔29"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔323"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔510"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔029"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔511"
"延绳钓","0169-09-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","255",,"中国","鲁荣远渔798"
"金枪钓","0172-01-12 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","中西太平洋公海","750.00","山东沙窝岛远洋渔业股份有限公司","432.00",,"中国","鲁荣远渔559"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔516"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔028"
"金枪钓","2187-12-06 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔266"
"渔业辅助船","2181-12-07 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","2100.00","荣成市连海渔业有限公司","2421.00",,"中国","鲁荣远渔运777"
